isbn,title,publishDate,price,pageCount,size,weight,label,author_name_tf,publisher_name_tf
9788954601924,박완서 단편소설 전집 박스 세트 - 전7권,4346,111500,446,24064,3535,1,12,192
9788954602280,갈팡질팡하다가 내 이럴 줄 알았지,6772,15000,325,30660,423,1,6,192
9788954603980,네가 누구든 얼마나 외롭든,6422,16000,392,26800,470,1,11,192
9788954610551,고령화 가족,5548,15500,292,30450,402,1,5,192
9788954610681,은교,5410,16500,408,24064,500,1,7,192
9788954611275,어디선가 나를 찾는 전화벨이 울리고,5460,16500,380,30450,472,1,6,192
9788954612739,내 정원의 붉은 열매,5353,15000,280,30450,364,1,10,192
9788954616515,희랍어 시간,4918,13000,194,30450,252,1,17,192
9788954617246,칼의 노래,4862,16500,400,24064,502,1,9,192
9788954617383,기나긴 하루,4847,15000,292,24064,390,1,12,192
9788954620666,달에게 들려주고 싶은 이야기,4424,14500,212,27472,410,1,6,192
9788954622905,"사월의 미, 칠월의 솔",4177,15000,344,26600,370,1,11,192
9788954623254,대범한 밥상,4121,16500,432,24064,605,1,12,192
9788954623292,식물들의 사생활,4121,15500,296,24064,365,1,17,192
9788954623360,칼의 노래,4121,17000,400,24064,480,1,9,192
9788954623377,새의 선물,4121,16500,504,24064,550,1,7,192
9788954623414,고래,4121,16500,564,24064,605,1,5,192
9788954635257,국경시장,3715,12000,248,30450,340,1,3,192
9788954636247,백년해로외전,338,16500,316,26600,411,1,1,192
9788954636254,밤이 영원할 것처럼,241,16000,244,26600,317,1,3,192
9788954637046,스무 살,3495,14500,324,26600,405,1,11,192
9788954637237,"그믐, 또는 당신이 세계를 기억하는 방식",3551,12000,188,30450,325,1,11,192
9788954637800,파도가 바다의 일이라면,3495,14000,288,26600,350,1,11,192
9788954638241,해질 무렵,3463,16800,200,26325,300,1,5,192
9788954638746,2024 제15회 젊은작가상 수상작품집,393,15000,372,26650,372,1,5,192
9788954639255,러브 레플리카,3393,15500,360,30450,475,1,4,192
9788954640145,내가 아직 아이였을 때,3298,16000,324,26600,395,1,11,192
9788954640169,나는 유령작가입니다,3298,15000,312,26600,406,1,11,192
9788954640176,밤은 노래한다,3298,15000,368,26600,478,1,11,192
9788954640756,너무 한낮의 연애,3254,14000,288,30450,390,1,9,192
9788954641630,쇼코의 미소,3217,14500,296,30660,409,1,10,192
9788954641869,환상통,3175,10000,204,26855,308,1,4,192
9788954642040,뜨거운 피,3168,16500,596,30450,675,1,3,192
9788954643306,아무도 아닌 (리커버),3071,12000,216,30450,359,1,9,192
9788954643504,건축무한육면각체 1,3062,15000,356,26325,450,1,4,20
9788954643511,건축무한육면각체 2,3062,13500,352,26325,445,1,4,20
9788954643535,미스 함무라비,3069,16800,388,24252,410,1,1,192
9788954646079,바깥은 여름,2861,14500,272,26600,342,1,9,192
9788954646727,모르는 사람들,2798,15000,248,30450,360,1,17,192
9788954648523,친밀한 이방인,2754,15000,256,26600,309,1,3,192
9788954648882,회색 눈사람,2686,17000,360,24064,419,1,1,192
9788954648899,백년여관,2686,16500,412,24064,468,1,1,192
9788954648929,뱀과 물,2726,13500,312,22560,341,1,9,192
9788954651059,마당이 있는 집,2555,13800,388,24064,406,1,1,20
9788954651127,누구에게나 친절한 교회 오빠 강민호,2527,13500,316,26600,411,1,6,192
9788954651134,흰,2560,14500,196,22560,370,1,17,192
9788954651820,내게 무해한 사람,2494,14500,328,30450,458,1,10,192
9788954652841,귀신나방,2427,14500,408,27811,500,1,4,20
9788954652865,알려지지 않은 예술가의 눈물과 자이툰 파스타,2425,13500,352,26600,418,1,5,192
9788954653060,"잘 자요, 엄마",2397,13800,396,24064,411,1,6,20
9788954653480,단 하나의 문장,2361,14500,312,26600,374,1,13,192
